numero_pagina,titulo,descripcion,imagen
3,Niagara Falls,Captura la foto perfecta,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\Niagara_Falls.JPG"""
4,Nickel Beach,Conquista el circuito de obstaculos,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\Nickel Beach - Splash Town.jpg"""
5,ROM,Encuentra las 5 cosas que mas impresionantes del museo,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\ROM.jpg"""
6,Niagara on the Lake,Desde aqui puedes ver estados unidos!,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\niagara-on-the-lake.jpg"""
7,Whirlpool,Baja al remolino mas grande de Ontario,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\Whirlpool.jpg"""
8,Fort George,Viaja 200 años al pasado y conviértete en un soldado de 1812,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\Forth George1.jpg"""
9,Bird Kingdom,Dale de comer a las aves,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\Bird Kingdom.jpg"""
10,Welland Canal,Picnic time,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\Welland Canal.jpg"""
11,Safari,Conviértete en explorador y descubre a los animales más increíbles.,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\Safari.jpg"""
12,Water Park,Elije tu tobogan favorito,"""C:\Users\carlo\My Drive (carlos.peralta.gutierrez@gmail.com)\01-Doc for Karen\Andre's visit Sep-2026\background images\Waterpark.jpg"""
